1,imetelkov,+ 00:51,+ 00:13,+1 02:33,+1 01:03,+2 00:45,5,407
2,onesadkid,+ 00:18,+3 00:33,+3 01:18,+1 01:27,+3 01:36,5,514
3,nekogone,+ 00:26,+5 00:52,+ 02:41,+1 01:06,+1 01:16,5,524
4,norghauzen,+1 00:22,+6 03:04,+1 01:50,+2 02:31,+3 02:56,5,906
5,Dmitry,+ 00:55,+8 01:04,+7 02:57,+ 03:13,+ 04:13,5,1042
6,MaxLine121,+1 00:23,+3 00:40,+ 02:36,+2 00:50,+19 04:57,5,1067
7,Alexshch446,+ 00:53,+ 01:27,+4 05:14,+ 01:38,+6 05:19,5,1074
8,Юлия Блюм,+ 00:26,+5 01:58,+6 04:10,+1 01:12,+11 04:39,5,1207
9,semenchaykin2005,+2 02:06,+4 01:50,+1 02:35,+3 03:02,+10 05:04,5,1278
10,Алексей К.,+ 01:05,+5 01:56,+1 03:26,+3 03:46,+13 06:00,5,1414
11,Андрей Д.,+ 00:18,+3 02:48,+1 01:29,+12 03:05,+21 04:39,5,1481
12,d-e-n-n-1-s,+ 00:18,+3 01:45,+8 03:41,+2 01:14,+23 06:03,5,1503
13,eruption404,+ 00:14,+7 01:35,+6 04:11,+6 05:13,+7 05:37,5,1531
14,Кирилл,+ 01:29,+6 02:41,+6 10:12,+1 03:02,+9 03:23,5,1689
15,n-v.nikitin,+ 01:23,+3 02:28,+1 03:25,+4 05:03,+21 06:17,5,1699
16,Алексей Шишков,+ 00:17,+6 01:40,+3 03:04,+16 04:33,+20 05:33,5,1809
17,malanchenkoy,+2 00:19,+10 02:21,+5 03:56,+7 02:27,+28 04:52,5,1877
18,stas.vecherkovsky,+1 00:16,+14 03:25,+7 15:30,+4 01:06,+5 01:39,5,1938
19,grigoriyburobin,+ 02:10,+6 01:41,+2 21:00,+4 02:23,+ 01:56,5,1991
20,Аноним,+ 00:13,+5 02:39,+2 05:25,+2 05:56,+21 09:15,5,2009
21,yunatroitskaya,+ 00:26,+3 01:41,+1 04:23,+ 01:56,+26 17:46,5,2174
22,bessonovnikolaj16,+1 00:49,+11 02:49,+9 08:26,+1 03:11,+20 09:26,5,2322
23,Александр Азерников,+ 02:32,+4 03:46,+4 12:18,+14 06:25,+5 06:37,5,2439
24,Виталий,+ 00:50,+2 03:16,+ 17:22,+ 04:31,+8 14:57,5,2658
25,abarabanova23,+2 01:51,+8 05:12,+5 08:50,+7 02:40,+37 06:08,5,2664
26,WhiteHorse,+2 04:14,+9 07:14,+7 08:29,+1 05:21,+14 08:10,5,2670
27,kiselev.edik2017,+ 01:36,+5 03:40,+1 05:33,+2 14:15,+7 14:54,5,2700
